                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.78078,                0.38919,                0.81868,                0.96597,                0.98485,                 0.9794,                0.72174,                0.92333,                0.43378,                0.84661,                0.00208,                0.00208,                0.00208
                     82,                0.76757,                0.39387,                0.82994,                0.95814,                0.98082,                0.97561,                0.71202,                0.91623,                0.47424,                0.84631,               0.001981,               0.001981,               0.001981
                     83,                0.79097,                0.39589,                 0.8114,                0.97044,                0.97652,                0.98225,                0.73057,                 0.8782,                0.41454,                0.83881,               0.001882,               0.001882,               0.001882
                     84,                0.75832,                0.39535,                0.80473,                 0.9729,                0.96893,                0.98236,                 0.7136,                0.94666,                0.45086,                0.84906,               0.001783,               0.001783,               0.001783
                     85,                0.74989,                0.37959,                0.80317,                0.97561,                 0.9697,                0.98363,                0.69685,                0.94892,                0.43369,                0.84252,               0.001684,               0.001684,               0.001684
                     86,                0.73449,                0.37459,                 0.8102,                 0.9777,                 0.9697,                0.98236,                0.71897,                0.92397,                0.42623,                 0.8399,               0.001585,               0.001585,               0.001585
                     87,                0.70473,                 0.3657,                0.81905,                0.97769,                0.97023,                0.98309,                0.72532,                0.94453,                0.42981,                0.84515,               0.001486,               0.001486,               0.001486
                     88,                0.72859,                0.38209,                0.80222,                0.97621,                0.96749,                0.98339,                0.71986,                0.95046,                0.43864,                 0.8445,               0.001387,               0.001387,               0.001387
                     89,                0.73004,                0.38366,                0.81709,                0.97892,                0.96548,                 0.9829,                0.73483,                0.92674,                0.42435,                0.83757,               0.001288,               0.001288,               0.001288
                     90,                0.68991,                0.36042,                0.82634,                0.95429,                0.94528,                0.96635,                 0.7154,                0.94539,                 0.4298,                0.83872,               0.001189,               0.001189,               0.001189
                     91,                0.69814,                0.36081,                0.80494,                 0.9784,                 0.9697,                0.98263,                0.72151,                0.98044,                 0.4438,                0.84412,                0.00109,                0.00109,                0.00109
                     92,                0.70062,                0.35898,                0.79445,                0.97887,                0.97295,                 0.9855,                0.71377,                0.94647,                0.42714,                0.84046,               0.000991,               0.000991,               0.000991
                     93,                0.71685,                0.36343,                0.80245,                0.95701,                0.99558,                 0.9845,                 0.7216,                0.89617,                0.40914,                0.83513,               0.000892,               0.000892,               0.000892
                     94,                0.70617,                0.35743,                0.81092,                0.95607,                0.99588,                 0.9855,                0.73414,                0.90375,                0.40726,                0.83328,               0.000793,               0.000793,               0.000793
                     95,                0.74067,                0.36165,                0.78589,                0.95946,                0.99704,                0.98717,                0.72875,                0.89918,                 0.4119,                0.83205,               0.000694,               0.000694,               0.000694
                     96,                0.66579,                0.33674,                0.79602,                0.96119,                0.99706,                0.98717,                0.74079,                0.87961,                 0.3921,                0.82979,               0.000595,               0.000595,               0.000595
                     97,                0.73416,                0.35562,                0.78889,                0.97161,                0.98703,                0.98633,                0.73882,                 0.8726,                0.39503,                0.83053,               0.000496,               0.000496,               0.000496
                     98,                0.64577,                0.33044,                0.81604,                0.97592,                0.98598,                 0.9845,                0.73259,                0.85716,                0.39371,                0.83011,               0.000397,               0.000397,               0.000397
                     99,                0.67065,                0.33717,                0.79236,                 0.9772,                0.98688,                 0.9845,                0.73853,                 0.8547,                0.38544,                0.82849,               0.000298,               0.000298,               0.000298
